Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
stackable diamond bands,USD,4400,-33%,-18%,High,100,1.27,4.14,6%
cheap wedding sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
past present and future ring,USD,4400,-18%,-33%,High,100,0.96,3.56,16%
womens black wedding band,USD,4400,-18%,-33%,High,100,0.67,2.87,9%
zirconium ring,USD,4400,125%,125%,High,100,0.51,2.71,< 1%
gorgeous engagement rings,USD,4400,-18%,-18%,High,100,1.78,4.57,2%
cheap bridal ring sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
teardrop diamond engagement ring,USD,4400,-18%,23%,High,100,1.46,4.44,1%
ladies platinum wedding band,USD,4400,23%,23%,High,100,1.46,4.94,5%
sapphire diamond wedding band,USD,4400,-18%,-18%,High,100,1.19,3.90,7%
affordable wedding sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
silver and diamond ring,USD,4400,175%,241%,High,100,0.54,3.15,3%
small wedding rings,USD,4400,-18%,-18%,High,100,1.21,3.32,< 1%
black diamond jewellery,USD,4400,-18%,125%,High,100,0.62,3.06,16%
14 karat gold wedding band,USD,4400,23%,23%,High,100,0.81,3.25,11%
ring guard wedding band,USD,4400,-19%,-19%,High,100,0.67,3.25,8%
rose gold and diamond ring,USD,4400,-33%,22%,High,100,1.32,4.41,4%
8ct diamond ring,USD,4400,23%,50%,High,100,1.26,4.23,3%
tiny engagement ring,USD,4400,-18%,-18%,High,100,1.21,3.32,< 1%
wedding bands for emerald cut,USD,4400,-46%,-19%,High,100,1.50,4.94,4%
inexpensive wedding ring sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
love bands,USD,4400,0%,-19%,Low,7,1.15,3.65,< 1%
nice mens wedding bands,USD,4400,-18%,0%,High,100,1.75,5.32,< 1%
online diamond dealers,USD,4400,0%,46%,High,79,4.65,27.11,3%
14k gold wedding ring,USD,4400,23%,23%,High,100,0.81,3.25,11%
14 karat gold mens wedding band,USD,4400,-19%,0%,High,100,0.92,3.64,26%
cheap wedding band sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
hailey bieber wedding ring,USD,4400,-18%,-18%,High,96,,,
affordable bridal ring sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
lily collins engagement ring,USD,4400,-56%,23%,Medium,50,,,
best men's wedding rings,USD,4400,-18%,0%,High,100,1.75,5.32,< 1%
stone ring for men,USD,4400,0%,0%,High,100,0.67,2.54,< 1%
selling gold jewellery near me,USD,4400,-45%,24%,Medium,50,2.32,7.62,
wedding ring style,USD,4400,0%,23%,High,100,1.10,3.25,1%
nice men's wedding bands,USD,4400,-18%,0%,High,100,1.75,5.32,< 1%
round brilliant cut,USD,4400,124%,517%,Medium,47,1.13,4.69,< 1%
inexpensive wedding sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
mens wedding rings 14k gold,USD,4400,-19%,0%,High,100,0.92,3.64,26%
popular jewlery brands,USD,4400,-18%,24%,High,100,0.84,2.72,< 1%
biggest diamond,USD,4400,0%,0%,Medium,34,1.99,6.17,< 1%
male tungsten wedding rings,USD,4400,0%,0%,High,100,1.25,3.60,< 1%
masculine wedding rings,USD,4400,-19%,-19%,High,100,1.11,3.59,< 1%
inexpensive bridal sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
jewelry usa online store,USD,4400,4502%,12556%,High,100,2.70,8.63,< 1%
black jewlery,USD,4400,23%,0%,High,100,0.37,2.21,< 1%
three carat ring,USD,4400,23%,50%,High,100,1.46,3.43,2%
top rated online jewelers,USD,4400,-12%,0%,High,100,2.03,11.82,5%
tungsten male rings,USD,4400,0%,0%,High,100,1.25,3.60,< 1%
good jewelry online,USD,4400,-12%,0%,High,100,2.03,11.82,5%
inexpensive wedding band sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
inexpensive bridal ring sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
j lo engagement ring,USD,4400,-81%,-38%,Medium,51,,,< 1%
male gold band,USD,4400,0%,22%,High,100,1.28,3.90,3%
ladies wedding sets,USD,4400,0%,-19%,High,100,0.74,3.16,26%
mens bands gold,USD,4400,0%,22%,High,100,1.28,3.90,3%
best guy wedding rings,USD,4400,-18%,0%,High,100,1.75,5.32,< 1%
reasonable wedding ring sets,USD,4400,0%,-19%,High,100,0.87,3.25,13%
gold band for him,USD,4400,0%,22%,High,100,1.28,3.90,3%
good mens wedding bands,USD,4400,-18%,0%,High,100,1.75,5.32,< 1%
american jewellery stores online,USD,4400,4502%,12556%,High,100,2.70,8.63,< 1%
fashion jewellery stores,USD,4400,82%,0%,High,76,0.72,2.90,< 1%
female wedding sets,USD,4400,0%,-19%,High,100,0.74,3.16,26%
gents gold band,USD,4400,0%,22%,High,100,1.28,3.90,3%
flawless moissanite,USD,3600,0%,0%,High,100,1.83,32.35,3%
buy engagement ring,USD,3600,-84%,60%,High,80,4.25,25.26,5%
engagement rings under 1000,USD,3600,-17%,-33%,High,100,1.38,5.07,8%
alternative engagement rings,USD,3600,0%,0%,High,100,0.92,3.14,< 1%
meteorite wedding band,USD,3600,-19%,-19%,High,100,1.18,3.75,< 1%
one carat diamond ring,USD,3600,-34%,-19%,High,100,1.14,3.23,12%
3 stone diamond ring,USD,3600,-34%,-19%,High,100,1.65,4.65,24%
custom wedding bands,USD,3600,-18%,24%,High,100,1.86,4.98,1%
1 carat engagement ring,USD,3600,22%,52%,High,100,1.43,4.93,9%
previously owned engagement rings,USD,3600,24%,-18%,High,100,0.60,5.08,74%
black wedding band,USD,3600,-19%,-19%,High,100,1.21,3.42,< 1%
modern engagement rings,USD,3600,0%,0%,High,100,1.56,3.82,2%
diamond earrings on sale,USD,3600,-81%,19%,High,100,0.54,4.78,24%
heart shaped engagement ring,USD,3600,-34%,-19%,High,100,1.80,5.65,2%
emerald cut moissanite ring,USD,3600,-17%,-33%,High,100,0.97,3.49,< 1%
pre owned engagement rings,USD,3600,24%,-18%,High,100,0.60,5.08,74%
bespoke engagement rings,USD,3600,-87%,644%,High,100,1.73,6.15,< 1%
split shank engagement ring,USD,3600,-18%,24%,High,100,2.00,6.54,< 1%
green engagement ring,USD,3600,-19%,-19%,High,100,1.37,3.90,1%
cluster engagement rings,USD,3600,22%,22%,High,100,1.50,4.06,2%
blue diamond earrings,USD,3600,-33%,-16%,High,100,1.11,4.18,66%
marquise wedding band,USD,3600,-18%,24%,High,100,1.39,4.48,9%
peridot engagement ring,USD,3600,-33%,0%,High,100,1.16,4.04,1%
diamond and sapphire engagement ring,USD,3600,-46%,-19%,High,100,1.46,4.59,5%
heart engagement rings,USD,3600,-18%,0%,High,100,1.55,4.38,1%
moissanite diamond rings,USD,3600,-17%,-45%,High,100,0.86,3.31,6%
lord of the rings wedding band,USD,3600,-19%,0%,High,100,0.74,3.66,< 1%
4 carat lab grown diamond,USD,3600,-18%,50%,High,100,1.53,4.35,3%
oval shaped engagement ring,USD,3600,0%,0%,High,100,1.50,4.25,2%
best silicone rings,USD,3600,0%,-21%,High,100,0.91,2.65,
antique diamond rings,USD,3600,-19%,0%,High,100,0.71,2.65,2%
square diamond earrings,USD,3600,0%,0%,High,100,0.97,3.49,3%
radiant diamond,USD,3600,0%,-33%,High,100,2.00,6.68,1%
si1 diamond,USD,3600,0%,-19%,High,97,0.94,3.15,4%
fake wedding rings,USD,3600,24%,0%,High,100,0.27,1.43,
3 diamond engagement ring,USD,3600,-18%,-18%,High,100,1.75,4.70,8%
three diamond engagement ring,USD,3600,-18%,-18%,High,100,1.75,4.70,8%
budget engagement rings,USD,3600,125%,662%,High,97,1.82,6.23,< 1%
wood rings for men,USD,3600,-19%,-19%,High,100,1.26,3.97,
rectangle diamond ring,USD,3600,-18%,0%,High,100,1.44,3.46,1%
wedding bands for men and women,USD,3600,-19%,-34%,High,100,0.87,3.62,17%
mens meteorite ring,USD,3600,22%,0%,High,100,1.13,3.57,
gold bands for women,USD,3600,-34%,0%,High,100,0.81,3.07,2%
natural diamond ring,USD,3600,0%,89%,High,100,1.62,5.60,10%
turquoise wedding ring,USD,3600,0%,-19%,High,100,0.67,2.28,< 1%
simple wedding bands,USD,3600,-19%,-34%,High,100,0.99,3.43,< 1%
diamond rings near me,USD,3600,0%,21%,High,71,1.67,7.80,< 1%
sterling silver wedding bands,USD,3600,-19%,0%,High,100,0.65,2.45,1%
brilliant cut diamond,USD,3600,-33%,24%,High,100,1.00,3.70,< 1%
2 carat ring,USD,3600,0%,0%,High,100,1.43,3.15,3%
black gold engagement rings,USD,3600,-47%,-21%,High,100,1.44,4.34,13%
black diamond ring womens,USD,3600,-19%,0%,High,100,0.74,4.01,42%
diamond pinky ring,USD,3600,0%,24%,High,100,0.56,3.20,8%
oval cut diamond ring,USD,3600,-19%,132%,High,100,1.77,5.08,< 1%
indian jewelry online,USD,3600,-21%,-21%,High,100,0.65,2.39,
black and gold wedding band,USD,3600,-19%,-19%,High,100,1.10,3.49,5%
radiant cut ring,USD,3600,-18%,24%,High,100,1.88,5.08,< 1%
two tone mens wedding band,USD,3600,0%,22%,High,100,1.46,3.90,41%
oval cut diamond,USD,3600,0%,0%,High,100,1.96,5.50,< 1%
flower diamond ring,USD,3600,-19%,-19%,High,100,1.38,3.60,7%
gold diamond band,USD,3600,0%,-19%,High,100,1.20,3.90,7%
mens wedding bands near me,USD,3600,0%,24%,High,100,1.27,5.20,< 1%
wedding rings for men and women,USD,3600,-19%,-34%,High,100,0.87,3.62,17%
pear shaped wedding ring,USD,3600,-19%,-19%,High,100,0.81,3.54,2%
black friday deals jewelry,USD,3600,50%,86%,Low,29,0.79,1.93,< 1%
marquise moissanite ring,USD,3600,-18%,89%,High,100,0.91,3.25,1%
wedding band for pear shaped ring,USD,3600,-19%,-19%,High,100,0.81,3.54,2%
sterling silver wedding rings,USD,3600,-19%,0%,High,100,0.65,2.45,1%
engagement ring bands,USD,3600,0%,0%,High,100,1.94,5.47,5%
5 carat ring,USD,3600,0%,52%,High,100,1.42,3.15,2%
big diamond engagement rings,USD,3600,-18%,24%,High,100,1.43,4.21,8%
oval cut diamond engagement rings,USD,3600,-19%,132%,High,100,1.77,5.08,< 1%
gold wedding ring sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
vintage gold engagement rings,USD,3600,-34%,0%,High,100,1.00,2.87,2%
average price of engagement ring,USD,3600,-18%,0%,High,100,1.34,3.60,1%
vintage engagement rings 1920s,USD,3600,-18%,24%,High,100,0.65,2.52,2%
silver wedding bands for women,USD,3600,-18%,0%,High,100,0.64,2.69,2%
black gold wedding band,USD,3600,-19%,-19%,High,100,1.10,3.49,5%
antique diamond engagement rings,USD,3600,-19%,0%,High,100,0.71,2.65,2%
indian gold jewelry near me,USD,3600,0%,21%,High,100,0.70,2.13,< 1%
large diamond engagement rings,USD,3600,-18%,24%,High,100,1.43,4.21,8%
mens band ring,USD,3600,-33%,24%,High,100,1.14,3.65,2%
lord of the rings wedding ring,USD,3600,-19%,0%,High,100,0.74,3.66,< 1%
preowned wedding rings,USD,3600,24%,-18%,High,100,0.60,5.08,74%
oval engagement ring with wedding band,USD,3600,0%,0%,High,100,1.42,4.31,1%
black onyx ring mens,USD,3600,-18%,0%,High,100,0.33,2.06,1%
contemporary engagement rings,USD,3600,0%,0%,High,100,1.56,3.82,2%
3 stone diamond engagement ring,USD,3600,-64%,177%,High,100,1.96,6.25,3%
wedding rings under 1000,USD,3600,-17%,-33%,High,100,1.38,5.07,8%
previously owned wedding rings,USD,3600,24%,-18%,High,100,0.60,5.08,74%
gold and diamond,USD,3600,0%,0%,High,95,1.23,4.80,< 1%
diamond anniversary,USD,3600,0%,-19%,High,82,0.61,4.86,3%
one carat engagement ring,USD,3600,22%,52%,High,100,1.43,4.93,9%
mens wedding rings near me,USD,3600,0%,24%,High,100,1.27,5.20,< 1%
4 carat diamond ring price,USD,3600,50%,421%,High,98,0.92,2.66,1%
best places to buy engagement rings online,USD,3600,0%,0%,High,100,4.66,32.80,10%
three stone diamond engagement ring,USD,3600,-64%,177%,High,100,1.96,6.25,3%
most unique engagement rings,USD,3600,-18%,1588%,High,100,1.26,3.03,< 1%
black gold wedding ring,USD,3600,-19%,-19%,High,100,1.10,3.49,5%
personalized wedding bands,USD,3600,-18%,24%,High,100,1.86,4.98,1%
1 carat wedding ring,USD,3600,22%,52%,High,100,1.43,4.93,9%
big diamond wedding rings,USD,3600,-18%,24%,High,100,1.43,4.21,8%
fake wedding bands,USD,3600,24%,0%,High,100,0.27,1.43,
3 diamond wedding ring,USD,3600,-18%,-18%,High,100,1.75,4.70,8%
4ct diamond,USD,3600,0%,0%,High,100,1.41,3.50,2%
black and gold engagement rings,USD,3600,-47%,-21%,High,100,1.44,4.34,13%
mens wooden ring,USD,3600,-19%,-19%,High,100,1.26,3.97,
gold wedding band sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
engagement ring and band,USD,3600,0%,0%,High,100,1.94,5.47,5%
flower diamond engagement ring,USD,3600,-19%,-19%,High,100,1.38,3.60,7%
engagement rings nearby,USD,3600,-18%,89%,High,100,1.33,7.00,2%
grace kelly engagement ring,USD,3600,-71%,0%,High,99,0.09,1.11,< 1%
gold bridal set rings,USD,3600,0%,22%,High,100,0.84,3.30,31%
black and gold wedding ring,USD,3600,-19%,-19%,High,100,1.10,3.49,5%
mens 2 tone wedding bands,USD,3600,0%,22%,High,100,1.46,3.90,41%
radiant ring cut,USD,3600,-18%,24%,High,100,1.88,5.08,< 1%
contemporary wedding rings,USD,3600,0%,0%,High,100,1.56,3.82,2%
shaped wedding band,USD,3600,-18%,0%,High,100,0.98,3.15,< 1%
emily ratajkowski engagement ring,USD,3600,-58%,-93%,Medium,64,,,< 1%
men's wedding bands near me,USD,3600,0%,24%,High,100,1.27,5.20,< 1%
ariana grande ring,USD,3600,-33%,-17%,Medium,66,7.03,18.21,
two carat ring,USD,3600,0%,0%,High,100,1.43,3.15,3%
band mens rings,USD,3600,-33%,24%,High,100,1.14,3.65,2%
mens two tone wedding rings,USD,3600,0%,22%,High,100,1.46,3.90,41%
amal clooney engagement ring,USD,3600,-45%,50%,Low,29,,,
gold diamond bridal sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
men's women's wedding rings,USD,3600,-19%,-34%,High,100,0.87,3.62,17%
ring band men,USD,3600,-33%,24%,High,100,1.14,3.65,2%
indian jewellery shop,USD,3600,0%,21%,High,97,0.60,1.95,< 1%
men's band ring,USD,3600,-33%,24%,High,100,1.14,3.65,2%
indian jewellery store,USD,3600,0%,21%,High,97,0.60,1.95,< 1%
wedding band for marquise,USD,3600,-18%,24%,High,100,1.39,4.48,9%
gold engagement wedding ring set,USD,3600,0%,22%,High,100,0.84,3.30,31%
gold diamond wedding set,USD,3600,0%,22%,High,100,0.84,3.30,31%
silver wedding rings for ladies,USD,3600,-18%,0%,High,100,0.64,2.69,2%
gold and diamond wedding sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
men's ring band,USD,3600,-33%,24%,High,100,1.14,3.65,2%
wedding set rings gold,USD,3600,0%,22%,High,100,0.84,3.30,31%
gents ring band,USD,3600,-33%,24%,High,100,1.14,3.65,2%
gold and diamond wedding ring sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
gold ring for wedding set,USD,3600,0%,22%,High,100,0.84,3.30,31%
gold set wedding rings,USD,3600,0%,22%,High,100,0.84,3.30,31%
trendy jwellery,USD,3600,0%,0%,High,100,0.69,2.58,
wedding gold ring sets,USD,3600,0%,22%,High,100,0.84,3.30,31%
lab created diamond earrings,USD,2900,0%,0%,High,100,1.79,8.10,25%
forever one moissanite,USD,2900,-63%,-32%,High,100,2.15,4.38,3%
diamond rings for sale,USD,2900,-34%,0%,High,100,1.46,6.06,65%
buy diamonds,USD,2900,-17%,0%,Medium,61,2.80,12.00,1%
selling engagement ring,USD,2900,24%,24%,Medium,54,3.35,10.66,< 1%
lab grown diamond wedding band,USD,2900,-70%,-17%,High,100,2.24,8.02,30%
custom made engagement rings,USD,2900,22%,238%,High,87,2.65,7.24,< 1%
small diamond earrings,USD,2900,-17%,-17%,High,100,0.48,2.55,3%
black diamond stud earrings,USD,2900,-16%,-16%,High,100,1.09,5.75,100%
expensive engagement rings,USD,2900,-17%,0%,High,100,1.42,3.49,< 1%
garnet engagement ring,USD,2900,-47%,-21%,High,100,1.07,4.00,1%
tantalum ring,USD,2900,24%,24%,High,100,1.37,4.79,< 1%
emerald cut diamond earrings,USD,2900,-33%,-16%,High,100,1.60,6.78,20%
wedding bands music,USD,2900,-19%,48%,Low,28,1.57,8.28,
lab made diamond earrings,USD,2900,0%,0%,High,100,1.79,8.10,25%
moissanite rings near me,USD,2900,0%,-33%,High,100,1.19,3.84,< 1%
minimalist engagement rings,USD,2900,0%,0%,High,100,1.42,3.64,< 1%
platinum diamond ring,USD,2900,24%,50%,High,98,1.61,5.21,8%
custom jewelers near me,USD,2900,24%,89%,High,74,1.77,5.54,< 1%
3 diamond ring,USD,2900,-17%,0%,High,100,1.49,3.96,12%
gold diamond stud earrings,USD,2900,-17%,0%,High,100,0.78,5.32,8%
blue engagement rings,USD,2900,-34%,-34%,High,100,1.54,4.50,3%
black diamond wedding band,USD,2900,-19%,-19%,High,100,1.48,6.04,43%
1 carat solitaire diamond ring,USD,2900,-19%,0%,High,100,1.26,4.81,16%
cushion engagement ring,USD,2900,-19%,0%,High,100,1.96,5.06,1%
black tungsten rings,USD,2900,-21%,-21%,High,100,1.22,3.30,< 1%
vs1 diamond,USD,2900,0%,50%,High,99,1.02,3.50,2%
discount engagement rings,USD,2900,-33%,122%,High,100,2.15,10.53,23%
diamond ring settings,USD,2900,0%,0%,High,100,1.17,3.58,7%
gra moissanite ring,USD,2900,-17%,26%,High,100,0.18,1.63,2%
pave diamond ring,USD,2900,-19%,-19%,High,100,1.95,5.70,5%
pave engagement rings,USD,2900,-17%,0%,High,100,2.16,7.49,2%
diamond cluster earrings,USD,2900,0%,-17%,High,100,0.88,4.15,19%
engagement bands,USD,2900,-17%,-17%,High,100,1.72,5.50,3%
baguette engagement ring,USD,2900,-17%,-17%,High,100,1.65,4.45,1%
3 carat diamond earrings,USD,2900,-34%,0%,High,100,1.24,4.35,33%
vintage emerald engagement rings,USD,2900,-17%,-17%,High,100,1.04,3.25,< 1%
1 carat diamond ring price,USD,2900,-64%,50%,High,99,0.89,2.95,8%
square cut diamond ring,USD,2900,0%,0%,High,100,1.21,3.66,1%
square diamond engagement rings,USD,2900,-45%,0%,High,100,1.50,4.52,3%
1.5 carat diamond,USD,2900,-17%,-17%,High,100,1.66,5.05,1%
lab created diamond wedding band,USD,2900,-70%,-17%,High,100,2.24,8.02,30%
princess engagement rings,USD,2900,0%,0%,High,100,1.47,4.00,3%
small diamond ring,USD,2900,-19%,0%,High,100,0.95,2.91,2%
two tone engagement ring,USD,2900,-33%,-33%,High,100,1.75,4.76,1%
chocolate diamond engagement ring,USD,2900,-47%,-21%,High,100,1.21,3.49,6%
blue diamond jewelry,USD,2900,52%,83%,High,100,1.41,5.45,11%
mens yellow gold wedding band,USD,2900,0%,0%,High,100,1.32,4.19,9%
luxury engagement rings,USD,2900,238%,406%,High,100,1.35,4.78,< 1%
wedding rings for sale,USD,2900,0%,0%,High,100,0.77,4.65,33%
engagement ring shopping,USD,2900,0%,50%,High,93,3.15,13.78,< 1%
anniversary rings for women,USD,2900,0%,-17%,High,100,0.54,2.75,12%
yellow gold wedding bands,USD,2900,0%,24%,High,100,1.01,3.84,5%
sapphire and diamond band,USD,2900,-17%,-17%,High,100,1.30,4.15,14%
round diamond ring,USD,2900,0%,21%,High,100,1.84,4.44,3%
diamond jewelry near me,USD,2900,22%,52%,Medium,56,1.61,8.45,1%
amethyst wedding ring,USD,2900,0%,0%,High,100,1.21,4.00,2%
engagement ring cost,USD,2900,0%,24%,High,100,1.28,3.50,1%
big engagement rings,USD,2900,-17%,-17%,High,100,1.33,4.26,4%
three stone oval engagement ring,USD,2900,0%,21%,High,100,2.01,6.64,3%
3.5 carat diamond ring,USD,2900,-19%,0%,High,100,1.38,3.60,2%
emerald and diamond earrings,USD,2900,-65%,-21%,High,100,1.75,7.86,7%
diamond company,USD,2900,0%,0%,Medium,50,2.53,9.16,1%
gold moissanite engagement rings,USD,2900,-16%,0%,High,100,1.07,4.31,2%
mens sapphire wedding band,USD,2900,-19%,0%,High,100,1.48,4.04,3%
black onyx engagement ring,USD,2900,-63%,-32%,High,100,0.92,3.22,8%
bezel set diamond ring,USD,2900,-19%,21%,High,100,1.55,4.76,5%
3 carat radiant cut diamond ring,USD,2900,-33%,-17%,High,100,2.00,5.50,< 1%
band rings for women,USD,2900,-18%,24%,High,100,0.64,2.90,2%
boho engagement rings,USD,2900,30%,0%,High,100,1.00,3.43,< 1%
emerald diamond earrings,USD,2900,-65%,-21%,High,100,1.75,7.86,7%
cushion cut ring,USD,2900,0%,24%,High,100,1.99,4.93,< 1%
gothic wedding rings,USD,2900,-17%,0%,High,100,0.60,2.51,< 1%
3 stone oval engagement ring,USD,2900,0%,21%,High,100,2.01,6.64,3%
3 carat princess cut diamond ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
moissanite promise ring,USD,2900,-38%,0%,High,100,0.95,3.58,< 1%
custom made wedding rings,USD,2900,22%,238%,High,87,2.65,7.24,< 1%
moss agate wedding ring,USD,2900,-19%,-19%,High,100,1.41,4.93,< 1%
4 carat emerald cut diamond ring,USD,2900,0%,21%,High,100,1.81,4.66,3%
platinum diamond engagement ring,USD,2900,24%,50%,High,98,1.61,5.21,8%
ring band,USD,2900,-19%,0%,High,100,0.95,4.18,1%
thick band engagement ring,USD,2900,-34%,0%,High,100,1.57,4.10,4%
round cut diamond,USD,2900,0%,0%,High,92,1.33,4.95,< 1%
nile diamonds,USD,2900,-93%,0%,High,100,2.65,15.07,3%
different types of engagement rings,USD,2900,0%,-19%,High,100,1.26,2.95,< 1%
victorian engagement rings,USD,2900,-18%,89%,High,100,0.90,3.12,< 1%
round diamond,USD,2900,86%,86%,High,75,1.93,6.28,< 1%
used wedding rings,USD,2900,-17%,-17%,High,100,0.82,5.25,63%
red diamond ring,USD,2900,-17%,-17%,High,100,1.11,3.03,2%
2 carat marquise diamond ring,USD,2900,-18%,89%,High,100,1.74,4.91,5%
mens diamond hoop earrings,USD,2900,-17%,-17%,High,100,0.82,2.76,3%
5 carat diamond ring price,USD,2900,-33%,184%,High,100,0.91,2.55,2%
20 carat diamond ring,USD,2900,0%,0%,High,100,1.32,4.49,2%
stackable engagement rings,USD,2900,-45%,0%,High,100,1.59,4.73,1%
beautiful wedding rings,USD,2900,-17%,-17%,High,100,1.11,3.20,1%
5 carat emerald cut diamond ring,USD,2900,0%,21%,High,100,1.95,4.89,6%
black diamond band,USD,2900,0%,0%,High,100,1.78,7.10,72%
mens diamond engagement rings,USD,2900,-46%,0%,High,100,1.43,3.90,14%
1ct solitaire diamond ring,USD,2900,-19%,0%,High,100,1.26,4.81,16%
rose gold mens ring,USD,2900,24%,24%,High,100,1.01,3.03,6%
vintage art deco engagement rings,USD,2900,0%,24%,High,100,0.78,3.00,< 1%
vintage marquise engagement ring,USD,2900,-34%,53%,High,100,1.30,3.70,< 1%
bezel diamond ring,USD,2900,-19%,21%,High,100,1.55,4.76,5%
diamond alternative,USD,2900,-19%,0%,High,100,1.06,3.88,3%
moissanite gold ring,USD,2900,0%,-17%,High,100,0.85,3.07,3%
mens emerald wedding band,USD,2900,-19%,-19%,High,100,1.45,3.85,2%
best silicone rings for men,USD,2900,-16%,122%,High,100,0.91,2.73,
dainty wedding bands,USD,2900,-17%,-17%,High,100,0.88,3.06,1%
dainty wedding rings,USD,2900,-17%,-17%,High,100,0.88,3.06,1%
amethyst wedding band,USD,2900,0%,0%,High,100,1.21,4.00,2%
wedding band sale,USD,2900,0%,0%,High,100,0.77,4.65,33%
teardrop wedding ring,USD,2900,0%,-17%,High,100,1.15,3.62,1%
vvs moissanite,USD,2900,0%,0%,High,100,0.64,2.19,< 1%
mens diamond pinky rings,USD,2900,-19%,-19%,High,100,0.50,2.23,59%
moissanite emerald cut engagement rings,USD,2900,-64%,-19%,High,100,1.09,4.49,2%
mens gold engagement rings,USD,2900,-17%,0%,High,100,1.31,3.59,7%
yellow gold wedding ring,USD,2900,0%,24%,High,100,1.01,3.84,5%
3 carat marquise diamond ring,USD,2900,-18%,125%,High,100,1.68,4.71,3%
vintage mens wedding bands,USD,2900,0%,24%,High,100,0.66,2.79,2%
4 carat ring,USD,2900,22%,83%,High,100,1.42,3.36,2%
mens wedding bands meteorite,USD,2900,-33%,0%,High,100,1.43,4.71,< 1%
1.5 ct diamond,USD,2900,-17%,-17%,High,100,1.66,5.05,1%
unique vintage engagement rings,USD,2900,0%,50%,High,100,1.00,2.50,1%
women's silicone ring,USD,2900,-17%,0%,High,100,0.61,2.29,
gold band diamond ring,USD,2900,0%,0%,High,100,1.32,3.59,4%
divorce ring,USD,2900,-21%,-81%,High,100,0.19,0.59,< 1%
chocolate diamond wedding ring,USD,2900,-47%,-21%,High,100,1.21,3.49,6%
sapphire diamond band,USD,2900,-17%,-17%,High,100,1.30,4.15,14%
luxury wedding rings,USD,2900,238%,406%,High,100,1.35,4.78,< 1%
vintage art deco rings,USD,2900,-19%,0%,High,100,0.48,2.00,< 1%
meghan markle ring,USD,2900,83%,83%,High,94,0.21,4.26,< 1%
3 ct radiant cut diamond ring,USD,2900,-33%,-17%,High,100,2.00,5.50,< 1%
places near me that buy jewelry,USD,2900,0%,0%,Medium,62,2.38,6.45,< 1%
princess wedding ring,USD,2900,0%,0%,High,100,1.47,4.00,3%
pretty wedding rings,USD,2900,-17%,-17%,High,100,1.11,3.20,1%
best jewellery shop near me,USD,2900,-21%,-21%,High,100,1.27,5.00,15%
platinum and diamond ring,USD,2900,24%,50%,High,98,1.61,5.21,8%
square diamond wedding ring,USD,2900,-45%,0%,High,100,1.50,4.52,3%
2 tone engagement rings,USD,2900,-33%,-33%,High,100,1.75,4.76,1%
3.5 ct diamond ring,USD,2900,-19%,0%,High,100,1.38,3.60,2%
yellow gold wedding bands for him,USD,2900,0%,0%,High,100,1.32,4.19,9%
tungsten mens wedding bands with diamonds,USD,2900,0%,0%,High,100,1.01,3.25,12%
3 ct princess cut diamond ring,USD,2900,-17%,0%,High,100,1.40,4.40,21%
cushion wedding ring,USD,2900,-19%,0%,High,100,1.96,5.06,1%
indian gold jewelry store near me,USD,2900,21%,21%,High,84,0.94,2.67,
antique mens wedding bands,USD,2900,0%,24%,High,100,0.66,2.79,2%
3 carat princess cut diamond,USD,2900,-17%,0%,High,100,1.40,4.40,21%
beautiful wedding bands,USD,2900,-17%,-17%,High,100,1.11,3.20,1%
good jewlery brands,USD,2900,0%,26%,High,100,0.70,2.38,< 1%
gorgeous wedding rings,USD,2900,-17%,-17%,High,100,1.11,3.20,1%
mens vintage wedding rings,USD,2900,0%,24%,High,100,0.66,2.79,2%
mens emerald wedding ring,USD,2900,-19%,-19%,High,100,1.45,3.85,2%
jlo engagement ring,USD,2900,-87%,-45%,High,85,,,< 1%
mens yellow gold wedding rings,USD,2900,0%,0%,High,100,1.32,4.19,9%
3ct marquise diamond ring,USD,2900,-18%,125%,High,100,1.68,4.71,3%
mens wedding ring with sapphire,USD,2900,-19%,0%,High,100,1.48,4.04,3%
diamond 5 carat price,USD,2900,-33%,184%,High,100,0.91,2.55,2%
shop jewellery,USD,2900,-62%,-97%,High,75,2.03,7.13,8%
mens antique wedding rings,USD,2900,0%,24%,High,100,0.66,2.79,2%
black wedding band with black diamonds,USD,2900,-19%,-19%,High,100,1.48,6.04,43%
indian jewellery shops near me,USD,2900,0%,0%,Medium,60,0.96,2.67,
